date,open,high,low,close,volume,amount,outstanding_share,turnover
2010/7/7,169.18,173.93,168.3,173.16,5812938,90119608,826928499,0.007029553349569586
2010/7/8,173.27,174.04,170.62,172.49,3635119,56819040,826928499,0.004395929036665115
2010/7/9,173.82,180.22,170.73,177.68,7149885,114562752,826928499,0.00864631586484964
2010/7/12,178.81,179.81,176.59,176.93,2901160,46469324,826928499,0.003508356530834717
2010/7/13,176.93,178.15,170.71,171.04,4940293,77138672,826928499,0.005974268641090818
2010/7/14,170.93,176.15,170.93,172.93,2730495,42705860,826928499,0.0033019723026863537
2010/7/15,172.15,176.15,171.48,172.93,4452743,69554048,826928499,0.005384677158163828
2010/7/16,171.82,172.82,167.04,169.82,6399610,97537536,826928499,0.007739012511648846
2010/7/19,168.82,171.04,166.15,170.48,17289472,261527744,826928499,0.020908061604973178
2010/7/20,169.82,177.48,169.82,175.82,11169691,175371696,826928499,0.013507444734952833
2010/7/21,176.04,177.26,174.26,175.48,5107201,80781272,826928499,0.006176109550192199
2010/7/22,175.15,177.15,172.93,176.93,6947772,109553104,826928499,0.00840190174652573
2010/7/23,177.04,181.59,174.93,181.04,11538746,185228672,826928499,0.0139537408783876
2010/7/26,181.7,181.81,179.59,181.59,6959686,113229560,826928499,0.008416309279963514
2010/7/27,181.04,183.48,180.04,182.48,7828048,128123728,826928499,0.009466414580542834
2010/7/28,183.03,186.03,181.04,183.81,10082666,166690368,826928499,0.01219291149379047
2010/7/29,184.26,184.92,177.37,180.04,19177376,311756128,826928499,0.023191093332967837
2010/7/30,179.81,180.7,176.59,178.81,16568025,266027760,826928499,0.020035619790629563
2010/8/2,178.48,183.81,178.37,183.7,14968636,245219088,826928499,0.018101487635389865
2010/8/3,183.7,187.92,182.92,183.7,12910683,215562672,826928499,0.015612816604594976
2010/8/4,184.37,185.03,179.26,183.03,8180894,134270704,826928499,0.00989310927110761
2010/8/5,186.59,201.36,186.59,201.36,48290520,861831360,826928499,0.05839745523149517
2010/8/6,198.81,209.47,197.7,205.36,29076478,537557248,826928499,0.03516202191019178
2010/8/9,205.36,209.91,202.69,205.69,25403020,473178208,826928499,0.030719729735666057
2010/8/10,206.14,211.58,201.03,204.36,20230064,375119232,826928499,0.02446410303244368
